name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
서울특별시,3188632,3749690,4532622,4636994,4683121,4423739,4310503,3432990,3919562,2116491,1950741,1937900,1742412,1727467,1735385,1423732,9162575,8570515,10552663,15129997,9682231,9121111
부산광역시,3046823,3051419,3551770,3758568,3027076,2994195,3205962,3485691,2959168,2043283,3280165,3091857,3147418,3130999,2994853,2222972,6606778,6903205,6957558,6885594,6232655,6635661
대구광역시,3757061,2003721,2313224,2075576,2147070,2153688,2342754,2246695,1993122,1398799,1330583,1268610,1240074,1360634,1310367,2532341,3938881,4018715,3695588,3911124,3976378,3062618
인천광역시,1775946,2118748,2514820,2568683,2969558,2635271,2727864,2565709,2465706,1793426,2053415,2303421,2252258,2040649,2037217,1727295,8291521,6306482,9676489,7601495,7203494,6772237
광주광역시,576855,635602,692086,825296,841618,828296,699157,706219,651637,464717,397836,442956,435988,494176,463011,353642,1871922,1955128,2054415,1710002,2026225,1763931
대전광역시,778204,837304,929561,962014,1151085,1052498,906226,832889,819741,464717,577318,551933,594323,497477,494369,384483,1912129,1616379,1702262,1908298,1645717,1452646
울산광역시,9379802,10213322,10486765,8834474,8918612,8736509,9915971,8924729,9797367,7701320,6490372,7107691,3085233,3508598,3602200,3668532,5910018,4738522,4021668,4079779,3801701,3212799
세종특별자치시,,,,,,,,,,,,,,343497,343000,145263,1378788,1434054,1113356,1024217,916643,886891
경기도,7765332,7585025,8614364,8877063,9416828,9346203,8945303,8660486,8474622,6826541,6741077,6383771,5834489,6044292,6433026,6762940,33148220,32899631,31409303,31342317,29917985,28075782
강원도,6853139,5441393,5055893,4503259,5033575,3748765,5051265,4495505,9484557,19892302,32941301,36611592,46124596,3870709,3490744,5690513,11869292,9629491,9685976,9771796,9435589,7946339
충청북도,4839388,4495260,5013021,4531216,4259743,3333348,3968003,3953762,5097363,6106038,4953109,5102566,5026219,3603222,3164288,4668506,11015612,9591219,9587508,9461854,8979133,8235661
충청남도,3880687,4087089,4490176,4319702,4605147,4568088,5469395,5663276,3814335,3654260,3729015,4445969,5312371,30818484,30976065,13975687,28649591,38378848,33243487,37203474,31822663,12765996
전라북도,1983331,1929440,2370319,2301232,2509884,2512992,2462684,2559550,1923400,1580220,1717567,3925211,3510472,1720531,1623650,1357233,9876711,10327918,10264533,10629234,10869434,8692161
전라남도,4593852,4356945,4848326,6084817,5167536,5655694,5665635,5568193,25351528,32846676,21066694,24085449,29662943,18358930,20508212,23844273,33854363,29095759,24592550,28206197,24977703,13921936
경상북도,7112581,7150502,7187845,6057760,6315220,5582122,5737057,5906635,16923491,19780333,12567046,15848145,18309396,32859491,33090771,22761254,44264566,46290439,40585956,45299533,38448756,17685102
경상남도,3235519,3582771,4220996,4243030,4793761,4433430,5479320,5415249,4005560,3547299,3515085,3244278,4299430,9131563,8784603,3051603,14786168,14024178,12502770,11984146,11298246,10404086
제주특별자치도,484024,480880,546032,519933,517210,486197,455523,377314,461821,369852,424142,456172,598643,469759,511456,449284,3584078,4025641,3469169,3495486,3104089,2739143
