hc-key,행정구역,2020,2021,2022
kr-so,서울특별시,9586195,9472127,9417469
kr-pu,부산광역시,3349016,3324335,3295760
kr-tg,대구광역시,2410700,2387911,2366852
kr-in,인천광역시,2945454,2957044,2989125
kr-kj,광주광역시,1477573,1475262,1468972
kr-tj,대전광역시,1488435,1479740,1473662
kr-ul,울산광역시,1135423,1120753,1110516
kr-sj,세종특별자치시,353933,366227,382589
kr-kg,경기도,13511676,13652529,13717827
kr-kw,강원도,1521763,1521890,1528037
kr-gb,충청북도,1632088,1624764,1624993
kr-gn,충청남도,2176636,2175960,2193214
kr-cb,전라북도,1802766,1787053,1774248
kr-2685,전라남도,1788807,1778124,1771431
kr-2688,경상북도,2644757,2635314,2620373
kr-kn,경상남도,3333056,3305931,3280829
kr-cj,제주특별자치도,670858,673107,676375
