code,SIGUNGU_NM,2020,2021,2022
11010,종로구,"508,135","503,019","500,149"
11020,중구,"444,434","451,099","448,655"
11030,용산구,"299,535","292,611","287,788"
11040,성동구,"564,854","559,837","555,999"
11050,광진구,"502,641","495,777","496,743"
11060,동대문구,"353,967","347,099","346,519"
11070,중랑구,"435,442","426,220","424,038"
11080,성북구,"249,419","247,398","247,185"
11090,강북구,"511,982","503,929","496,423"
11100,도봉구,"315,979","309,200","304,137"
11110,노원구,"351,057","348,201","350,709"
11120,은평구,"392,772","388,094","386,605"
11130,서대문구,"365,612","365,192","362,408"
11140,마포구,"317,209","314,547","318,308"
11150,양천구,"401,749","392,302","383,181"
11160,강서구,"291,918","286,469","282,131"
11170,구로구,"438,833","435,509","436,113"
11180,금천구,"643,288","634,720","635,758"
11190,영등포구,"439,068","433,373","426,981"
11200,동작구,"403,619","402,984","401,805"
11210,관악구,"225,882","221,688","219,289"
11220,서초구,"463,102","457,385","454,649"
11230,강남구,"151,291","148,857","147,512"
11240,송파구,"128,744","126,310","125,257"
11250,강동구,"385,663","380,307","379,127"
21010,중구,"41,439","41,539","41,145"
21020,서구,"105,303","104,130","104,824"
21030,동구,"87,246","86,035","85,918"
21040,영도구,"113,224","112,834","109,889"
21050,부산진구,"351,403","351,201","350,426"
21060,동래구,"263,345","259,838","267,292"
21070,남구,"269,111","264,756","258,062"
21080,북구,"280,177","279,815","275,580"
21090,해운대구,"389,535","386,064","377,199"
21100,사하구,"312,057","305,790","303,000"
21110,금정구,"237,219","233,596","227,484"
21120,강서구,"136,734","142,110","143,734"
21130,연제구,"204,947","201,217","199,751"
21140,수영구,"171,461","170,720","170,007"
21150,사상구,"216,350","211,788","206,948"
21310,기장군,"169,465","172,902","174,501"
22010,중구,"74,278","72,834","77,512"
22020,동구,"333,294","332,637","332,954"
22030,서구,"170,437","165,455","160,754"
22040,남구,"145,588","144,898","142,675"
22050,북구,"446,466","444,446","439,303"
22060,수성구,"412,912","408,085","402,458"
22070,달서구,"566,712","554,702","545,073"
22310,달성군,"261,013","264,854","266,123"
23010,중구,"138,586","141,758","150,777"
23020,동구,"61,285","61,053","58,078"
23040,연수구,"390,260","399,594","400,488"
23050,남동구,"528,927","521,165","511,392"
23060,부평구,"500,812","494,641","498,254"
23070,계양구,"292,852","290,967","288,122"
23080,서구,"541,534","551,026","581,069"
23090,미추홀구,"405,886","412,022","415,196"
23310,강화군,"66,020","65,834","66,420"
23320,옹진군,"19,292","18,984","19,329"
24010,동구,"106,005","108,676","111,181"
24020,서구,"294,854","290,565","286,793"
24030,남구,"214,860","216,266","214,531"
24040,북구,"439,352","436,997","434,712"
24050,광산구,"422,502","422,758","421,755"
25010,동구,"232,559","233,721","231,324"
25020,중구,"231,959","227,326","224,114"
25030,서구,"478,629","475,671","474,248"
25040,유성구,"368,895","367,288","369,281"
25050,대덕구,"176,393","175,734","174,695"
26010,중구,"214,147","209,555","204,622"
26020,남구,"320,175","315,307","311,172"
26030,동구,"159,000","155,578","154,118"
26040,북구,"217,051","216,149","216,750"
26310,울주군,"225,050","224,164","223,854"
29010,세종시,"353,933","366,227","382,589"
31010,수원시,"1,210,150","1,208,337","1,216,349"
31020,성남시,"922,025","913,482","904,690"
31030,의정부시,"449,572","455,454","455,128"
31040,안양시,"542,336","538,929","540,789"
31050,부천시,"833,148","822,635","810,142"
31060,광명시,"298,116","290,345","284,031"
31070,평택시,"542,522","571,838","590,205"
31080,동두천시,"95,239","94,912","94,142"
31090,안산시,"717,345","718,384","715,088"
31100,고양시,"1,045,497","1,049,513","1,044,242"
31110,과천시,"58,018","65,880","73,406"
31120,구리시,"192,051","187,798","184,114"
31130,남양주시,"696,033","713,549","719,886"
31140,오산시,"240,645","242,297","242,596"
31150,시흥시,"535,147","554,074","557,663"
31160,군포시,"275,571","270,443","267,750"
31170,의왕시,"160,230","160,115","157,318"
31180,하남시,"279,795","305,470","315,203"
31190,용인시,"1,066,975","1,067,347","1,064,500"
31200,파주시,"460,541","475,212","490,765"
31210,이천시,"226,212","229,321","227,193"
31220,안성시,"203,030","203,897","208,619"
31230,김포시,"474,546","491,572","491,249"
31240,화성시,"880,859","906,381","931,472"
31250,광주시,"385,141","387,700","392,926"
31260,양주시,"233,286","239,800","242,995"
31270,포천시,"157,939","157,602","163,542"
31280,여주시,"113,352","113,270","113,831"
31350,연천군,"42,278","41,642","41,288"
31370,가평군,"60,233","59,714","59,755"
31380,양평군,"113,844","115,616","116,950"
32010,춘천시,"284,645","287,104","293,124"
32020,원주시,"352,429","357,224","361,810"
32030,강릉시,"216,542","216,560","215,128"
32040,동해시,"87,801","87,264","86,772"
32050,태백시,"41,494","40,395","39,113"
32060,속초시,"80,054","80,362","80,903"
32070,삼척시,"65,939","64,464","64,289"
32310,홍천군,"66,587","65,658","65,215"
32320,횡성군,"44,649","44,712","44,864"
32330,영월군,"36,282","35,728","35,654"
32340,평창군,"39,258","38,613","38,699"
32350,정선군,"34,524","33,786","33,354"
32360,철원군,"43,042","41,855","41,145"
32370,화천군,"23,733","23,092","22,545"
32380,양구군,"21,317","21,121","20,824"
32390,인제군,"30,147","30,670","30,905"
32400,고성군,"26,572","26,650","27,127"
32410,양양군,"26,748","26,632","26,566"
33020,충주시,"218,412","215,349","215,783"
33030,제천시,"134,768","133,750","130,436"
33040,청주시,"855,326","856,923","858,500"
33320,보은군,"31,543","30,929","30,636"
33330,옥천군,"48,868","48,507","48,013"
33340,영동군,"47,016","45,546","43,813"
33350,진천군,"89,514","91,779","93,174"
33360,괴산군,"38,093","37,526","37,830"
33370,음성군,"103,725","100,866","102,564"
33380,단양군,"27,640","26,937","26,466"
33390,증평군,"37,183","36,652","37,778"
34010,천안시,"682,199","683,888","687,951"
34020,공주시,"108,333","106,915","106,038"
34030,보령시,"99,088","97,390","96,511"
34040,아산시,"340,518","348,727","363,197"
34050,서산시,"176,379","177,497","177,947"
34060,논산시,"119,707","117,262","116,852"
34070,계룡시,"40,854","41,415","42,416"
34080,당진시,"168,955","169,507","171,192"
34310,금산군,"53,758","52,436","52,399"
34330,부여군,"64,207","62,415","61,481"
34340,서천군,"51,039","50,012","49,509"
34350,청양군,"30,103","30,103","29,761"
34360,홍성군,"102,757","101,618","100,339"
34370,예산군,"77,838","76,490","76,967"
34380,태안군,"60,901","60,285","60,654"
35010,전주시,"666,517","670,411","665,884"
35020,군산시,"269,023","267,635","266,438"
35030,익산시,"285,312","280,150","277,030"
35040,정읍시,"106,706","104,463","103,255"
35050,남원시,"78,097","76,551","75,259"
35060,김제시,"79,733","77,998","78,277"
35310,완주군,"95,834","95,029","94,771"
35320,진안군,"23,380","22,760","22,645"
35330,무주군,"22,678","22,305","22,296"
35340,장수군,"20,879","20,335","20,036"
35350,임실군,"26,075","24,997","24,922"
35360,순창군,"26,598","25,483","25,279"
35370,고창군,"52,608","51,180","50,784"
35380,부안군,"49,326","47,756","47,372"
36010,목포시,"224,509","221,178","219,625"
36020,여수시,"271,505","268,687","268,139"
36030,순천시,"272,449","273,827","272,085"
36040,나주시,"113,293","115,138","114,785"
36060,광양시,"143,928","144,226","145,926"
36310,담양군,"44,201","44,034","43,572"
36320,곡성군,"27,349","26,781","26,454"
36330,구례군,"23,907","23,543","23,165"
36350,고흥군,"60,045","58,873","58,630"
36360,보성군,"37,888","36,981","36,244"
36370,화순군,"60,247","60,136","59,822"
36380,장흥군,"35,273","34,268","33,638"
36390,강진군,"32,778","31,941","31,476"
36400,해남군,"65,223","63,242","62,360"
36410,영암군,"57,076","55,998","56,287"
36420,무안군,"84,637","90,094","90,630"
36430,함평군,"30,156","29,369","29,048"
36440,영광군,"50,196","48,981","49,323"
36450,장성군,"41,443","40,604","40,266"
36460,완도군,"48,269","47,210","46,863"
36470,진도군,"29,297","29,013","28,945"
36480,신안군,"35,138","34,000","34,148"
37010,포항시,"501,109","501,251","496,608"
37020,경주시,"261,778","261,102","259,674"
37030,김천시,"139,145","137,962","137,698"
37040,안동시,"159,412","158,064","156,025"
37050,구미시,"416,603","413,963","409,171"
37060,영주시,"103,818","102,414","101,521"
37070,영천시,"100,353","99,859","99,741"
37080,상주시,"95,473","93,722","93,208"
37090,문경시,"68,212","67,669","67,515"
37100,경산시,"283,733","293,418","295,543"
37310,군위군,"22,096","21,285","21,797"
37320,의성군,"49,243","48,021","47,775"
37330,청송군,"23,761","23,288","23,173"
37340,영양군,"15,743","15,558","15,333"
37350,영덕군,"34,893","33,927","33,516"
37360,청도군,"41,378","40,071","40,045"
37370,고령군,"31,419","30,399","30,142"
37380,성주군,"41,574","40,804","40,851"
37390,칠곡군,"115,756","114,564","113,549"
37400,예천군,"53,718","54,267","54,448"
37410,봉화군,"29,945","29,168","28,798"
37420,울진군,"47,151","46,369","45,954"
37430,울릉군,"8,444","8,169","8,288"
38030,진주시,"352,403","353,389","351,119"
38050,통영시,"127,984","124,829","123,006"
38060,사천시,"111,184","109,646","109,350"
38070,김해시,"552,427","547,995","547,313"
38080,밀양시,"103,228","101,837","101,574"
38090,거제시,"246,965","242,426","236,686"
38100,양산시,"351,206","352,610","352,842"
38110,창원시,"1,029,389","1,025,702","1,016,751"
38310,의령군,"25,965","25,325","25,032"
38320,함안군,"65,279","63,233","62,409"
38330,창녕군,"61,302","59,664","58,804"
38340,고성군,"50,016","48,803","48,298"
38350,남해군,"41,587","40,870","40,491"
38360,하동군,"41,772","40,167","39,542"
38370,산청군,"33,500","33,014","32,811"
38380,함양군,"37,114","36,541","36,017"
38390,거창군,"59,595","59,238","58,702"
38400,합천군,"42,140","40,642","40,082"
39010,제주시,"492,306","493,869","495,281"
39020,서귀포시,"178,552","179,238","181,094"
