SIG_CD,SIG_ENG_NM,SIG_KOR_NM,2020,2021,2022
11110,Jongno-gu,종로구,151291,148857,147512
11140,Jung-gu,중구,128744,126310,125257
11170,Yongsan-gu,용산구,225882,221688,219289
11200,Seongdong-gu,성동구,291918,286469,282131
11215,Gwangjin-gu,광진구,353967,347099,346519
11230,Dongdaemun-gu,동대문구,351057,348201,350709
11260,Jungnang-gu,중랑구,385663,380307,379127
11290,Seongbuk-gu,성북구,438833,435509,436113
11305,Gangbuk-gu,강북구,299535,292611,287788
11320,Dobong-gu,도봉구,315979,309200,304137
11350,Nowon-gu,노원구,511982,503929,496423
11380,Eunpyeong-gu,은평구,463102,457385,454649
11410,Seodaemun-gu,서대문구,317209,314547,318308
11440,Mapo-gu,마포구,365612,365192,362408
11470,Yangcheon-gu,양천구,439068,433373,426981
11500,Gangseo-gu,강서구,564854,559837,555999
11530,Guro-gu,구로구,435442,426220,424038
11545,Geumcheon-gu,금천구,249419,247398,247185
11560,Yeongdeungpo-gu,영등포구,403619,402984,401805
11590,Dongjak-gu,동작구,392772,388094,386605
11620,Gwanak-gu,관악구,502641,495777,496743
11650,Seocho-gu,서초구,401749,392302,383181
11680,Gangnam-gu,강남구,508135,503019,500149
11710,Songpa-gu,송파구,643288,634720,635758
11740,Gangdong-gu,강동구,444434,451099,448655
26110,Jung-gu,중구,41439,41539,41145
26140,Seo-gu,서구,105303,104130,104824
26170,Dong-gu,동구,87246,86035,85918
26200,Yeongdo-gu,영도구,113224,112834,109889
26230,Busanjin-gu,부산진구,351403,351201,350426
26260,Dongnae-gu,동래구,263345,259838,267292
26290,Nam-gu,남구,269111,264756,258062
26320,Buk-gu,북구,280177,279815,275580
26350,Haeundae-gu,해운대구,389535,386064,377199
26380,Saha-gu,사하구,312057,305790,303000
26410,Geumjeong-gu,금정구,237219,233596,227484
26440,Gangseo-gu,강서구,136734,142110,143734
26470,Yeonje-gu,연제구,204947,201217,199751
26500,Suyeong-gu,수영구,171461,170720,170007
26530,Sasang-gu,사상구,216350,211788,206948
26710,Gijang-gun,기장군,169465,172902,174501
27110,Jung-gu,중구,74278,72834,77512
27140,Dong-gu,동구,333294,332637,332954
27170,Seo-gu,서구,170437,165455,160754
27200,Nam-gu,남구,145588,144898,142675
27230,Buk-gu,북구,446466,444446,439303
27260,Suseong-gu,수성구,412912,408085,402458
27290,Dalseo-gu,달서구,566712,554702,545073
27710,Dalseong-gun,달성군,261013,264854,266123
27720,Gunwi-gun,군위군,22096,21285,21797
28110,Jung-gu,중구,138586,141758,150777
28140,Dong-gu,동구,61285,61053,58078
28177,Michuhol-gu,미추홀구,405886,412022,415196
28185,Yeonsu-gu,연수구,390260,399594,400488
28200,Namdong-gu,남동구,528927,521165,511392
28237,Bupyeong-gu,부평구,500812,494641,498254
28245,Gyeyang-gu,계양구,292852,290967,288122
28260,Seo-gu,서구,541534,551026,581069
28710,Ganghwa-gun,강화군,66020,65834,66420
28720,Ongjin-gun,옹진군,19292,18984,19329
29110,Dong-gu,동구,106005,108676,111181
29140,Seo-gu,서구,294854,290565,286793
29155,Nam-gu,남구,214860,216266,214531
29170,Buk-gu,북구,439352,436997,434712
29200,Gwangsan-gu,광산구,422502,422758,421755
30110,Dong-gu,동구,232559,233721,231324
30140,Jung-gu,중구,231959,227326,224114
30170,Seo-gu,서구,478629,475671,474248
30200,Yuseong-gu,유성구,368895,367288,369281
30230,Daedeok-gu,대덕구,176393,175734,174695
31110,Jung-gu,중구,214147,209555,204622
31140,Nam-gu,남구,320175,315307,311172
31170,Dong-gu,동구,159000,155578,154118
31200,Buk-gu,북구,217051,216149,216750
31710,Ulju-gun,울주군,225050,224164,223854
36110,Sejong-si,세종특별자치시,353933,366227,382589
41111,"Jangan-gu, Suwon-si",수원시 장안구,278507,277786,276081
41113,"Gwonseon-gu, Suwon-si",수원시 권선구,373381,368924,371343
41115,"Paldal-gu, Suwon-si",수원시 팔달구,187922,195418,205106
41117,"Yeongtong-gu, Suwon-si",수원시 영통구,370340,366209,363819
41131,"Sujeong-gu, Seongnam-si",성남시 수정구,249044,244058,242193
41133,"Jungwon-gu, Seongnam-si",성남시 중원구,211880,209170,203409
41135,"Bundang-gu, Seongnam-si",성남시 분당구,461101,460254,459088
41150,Uijeongbu-si,의정부시,449572,455454,455128
41171,"Manan-gu, Anyang-si",안양시 만안구,240986,240501,236296
41173,"Dongan-gu, Anyang-si",안양시 동안구,301350,298428,304493
41190,Bucheon-si,부천시,833148,822635,810142
41210,Gwangmyeong-si,광명시,298116,290345,284031
41220,Pyeongtaek-si,평택시,542522,571838,590205
41250,Dongducheon-si,동두천시,95239,94912,94142
41271,"Sangnok-gu, Ansan-si",안산시 상록구,359979,364309,362147
41273,"Danwon-gu, Ansan-si",안산시 단원구,357366,354075,352941
41281,"Deogyang-gu, Goyang-si",고양시 덕양구,460881,468756,473370
41285,"Ilsandong-gu, Goyang-si",고양시 일산동구,292616,293014,290321
41287,"Ilsanseo-gu, Goyang-si",고양시 일산서구,292000,287743,280551
41290,Gwacheon-si,과천시,58018,65880,73406
41310,Guri-si,구리시,192051,187798,184114
41360,Namyangju-si,남양주시,696033,713549,719886
41370,Osan-si,오산시,240645,242297,242596
41390,Siheung-si,시흥시,535147,554074,557663
41410,Gunpo-si,군포시,275571,270443,267750
41430,Uiwang-si,의왕시,160230,160115,157318
41450,Hanam-si,하남시,279795,305470,315203
41461,"Cheoin-gu, Yongin-si",용인시 처인구,268242,268115,268863
41463,"Giheung-gu, Yongin-si",용인시 기흥구,434871,435708,431163
41465,"Suji-gu, Yongin-si",용인시 수지구,363862,363524,364474
41480,Paju-si,파주시,460541,475212,490765
41500,Icheon-si,이천시,226212,229321,227193
41550,Anseong-si,안성시,203030,203897,208619
41570,Gimpo-si,김포시,474546,491572,491249
41590,Hwaseong-si,화성시,880859,906381,931472
41610,Gwangju-si,광주시,385141,387700,392926
41630,Yangju-si,양주시,233286,239800,242995
41650,Pocheon-si,포천시,157939,157602,163542
41670,Yeoju-si,여주시,113352,113270,113831
41800,Yeoncheon-gun,연천군,42278,41642,41288
41820,Gapyeong-gun,가평군,60233,59714,59755
41830,Yangpyeong-gun,양평군,113844,115616,116950
43111,"Sangdang-gu, Cheongju-si",청주시 상당구,184787,189611,191510
43112,"Seowon-gu, Cheongju-si",청주시 서원구,202390,195526,194132
43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구,270590,273483,274114
43114,"Cheongwon-gu, Cheongju-si",청주시 청원구,197559,198303,198744
43130,Chungju-si,충주시,218412,215349,215783
43150,Jecheon-si,제천시,134768,133750,130436
43720,Boeun-gun,보은군,31543,30929,30636
43730,Okcheon-gun,옥천군,48868,48507,48013
43740,Yeongdong-gun,영동군,47016,45546,43813
43745,Jeungpyeong-gun,증평군,37183,36652,37778
43750,Jincheon-gun,진천군,89514,91779,93174
43760,Goesan-gun,괴산군,38093,37526,37830
43770,Eumseong-gun,음성군,103725,100866,102564
43800,Danyang-gun,단양군,27640,26937,26466
44131,"Dongnam-gu, Cheonan-si",천안시 동남구,273764,270836,273967
44133,"Seobuk-gu, Cheonan-si",천안시 서북구,408435,413052,413984
44150,Gongju-si,공주시,108333,106915,106038
44180,Boryeong-si,보령시,99088,97390,96511
44200,Asan-si,아산시,340518,348727,363197
44210,Seosan-si,서산시,176379,177497,177947
44230,Nonsan-si,논산시,119707,117262,116852
44250,Gyeryong-si,계룡시,40854,41415,42416
44270,Dangjin-si,당진시,168955,169507,171192
44710,Geumsan-gun,금산군,53758,52436,52399
44760,Buyeo-gun,부여군,64207,62415,61481
44770,Seocheon-gun,서천군,51039,50012,49509
44790,Cheongyang-gun,청양군,30103,30103,29761
44800,Hongseong-gun,홍성군,102757,101618,100339
44810,Yesan-gun,예산군,77838,76490,76967
44825,Taean-gun,태안군,60901,60285,60654
45111,"Wansan-gu, Jeonju-si",전주시 완산구,342896,342394,338570
45113,"Deokjin-gu, Jeonju-si",전주시 덕진구,323621,328017,327314
45130,Gunsan-si,군산시,269023,267635,266438
45140,Iksan-si,익산시,285312,280150,277030
45180,Jeongeup-si,정읍시,106706,104463,103255
45190,Namwon-si,남원시,78097,76551,75259
45210,Gimje-si,김제시,79733,77998,78277
45710,Wanju-gun,완주군,95834,95029,94771
45720,Jinan-gun,진안군,23380,22760,22645
45730,Muju-gun,무주군,22678,22305,22296
45740,Jangsu-gun,장수군,20879,20335,20036
45750,Imsil-gun,임실군,26075,24997,24922
45770,Sunchang-gun,순창군,26598,25483,25279
45790,Gochang-gun,고창군,52608,51180,50784
45800,Buan-gun,부안군,49326,47756,47372
46110,Mokpo-si,목포시,224509,221178,219625
46130,Yeosu-si,여수시,271505,268687,268139
46150,Suncheon-si,순천시,272449,273827,272085
46170,Naju-si,나주시,113293,115138,114785
46230,Gwangyang-si,광양시,143928,144226,145926
46710,Damyang-gun,담양군,44201,44034,43572
46720,Gokseong-gun,곡성군,27349,26781,26454
46730,Gurye-gun,구례군,23907,23543,23165
46770,Goheung-gun,고흥군,60045,58873,58630
46780,Boseong-gun,보성군,37888,36981,36244
46790,Hwasun-gun,화순군,60247,60136,59822
46800,Jangheung-gun,장흥군,35273,34268,33638
46810,Gangjin-gun,강진군,32778,31941,31476
46820,Haenam-gun,해남군,65223,63242,62360
46830,Yeongam-gun,영암군,57076,55998,56287
46840,Muan-gun,무안군,84637,90094,90630
46860,Hampyeong-gun,함평군,30156,29369,29048
46870,Yeonggwang-gun,영광군,50196,48981,49323
46880,Jangseong-gun,장성군,41443,40604,40266
46890,Wando-gun,완도군,48269,47210,46863
46900,Jindo-gun,진도군,29297,29013,28945
46910,Sinan-gun,신안군,35138,34000,34148
47111,"Nam-gu, Pohang-si",포항시 남구,228937,228869,227243
47113,"Buk-gu, Pohang-si",포항시 북구,272172,272382,269365
47130,Gyeongju-si,경주시,261778,261102,259674
47150,Gimcheon-si,김천시,139145,137962,137698
47170,Andong-si,안동시,159412,158064,156025
47190,Gumi-si,구미시,416603,413963,409171
47210,Yeongju-si,영주시,103818,102414,101521
47230,Yeongcheon-si,영천시,100353,99859,99741
47250,Sangju-si,상주시,95473,93722,93208
47280,Mungyeong-si,문경시,68212,67669,67515
47290,Gyeongsan-si,경산시,283733,293418,295543
47730,Uiseong-gun,의성군,49243,48021,47775
47750,Cheongsong-gun,청송군,23761,23288,23173
47760,Yeongyang-gun,영양군,15743,15558,15333
47770,Yeongdeok-gun,영덕군,34893,33927,33516
47820,Cheongdo-gun,청도군,41378,40071,40045
47830,Goryeong-gun,고령군,31419,30399,30142
47840,Seongju-gun,성주군,41574,40804,40851
47850,Chilgok-gun,칠곡군,115756,114564,113549
47900,Yecheon-gun,예천군,53718,54267,54448
47920,Bonghwa-gun,봉화군,29945,29168,28798
47930,Uljin-gun,울진군,47151,46369,45954
47940,Ulleung-gun,울릉군,8444,8169,8288
48121,"Uichang-gu, Changwon-si",창원시 의창구,262203,216915,215053
48123,"Seongsan-gu, Changwon-si",창원시 성산구,213607,249909,246438
48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구,172632,180049,179191
48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구,190389,186464,183667
48129,"Jinhae-gu, Changwon-si",창원시 진해구,190558,192365,192402
48170,Jinju-si,진주시,352403,353389,351119
48220,Tongyeong-si,통영시,127984,124829,123006
48240,Sacheon-si,사천시,111184,109646,109350
48250,Gimhae-si,김해시,552427,547995,547313
48270,Miryang-si,밀양시,103228,101837,101574
48310,Geoje-si,거제시,246965,242426,236686
48330,Yangsan-si,양산시,351206,352610,352842
48720,Uiryeong-gun,의령군,25965,25325,25032
48730,Haman-gun,함안군,65279,63233,62409
48740,Changnyeong-gun,창녕군,61302,59664,58804
48820,Goseong-gun,고성군,50016,48803,48298
48840,Namhae-gun,남해군,41587,40870,40491
48850,Hadong-gun,하동군,41772,40167,39542
48860,Sancheong-gun,산청군,33500,33014,32811
48870,Hamyang-gun,함양군,37114,36541,36017
48880,Geochang-gun,거창군,59595,59238,58702
48890,Hapcheon-gun,합천군,42140,40642,40082
50110,Jeju-si,제주시,492306,493869,495281
50130,Seogwipo-si,서귀포시,178552,179238,181094
51110,Chuncheon-si,춘천시,284645,287104,293124
51130,Wonju-si,원주시,352429,357224,361810
51150,Gangneung-si,강릉시,216542,216560,215128
51170,Donghae-si,동해시,87801,87264,86772
51190,Taebaek-si,태백시,41494,40395,39113
51210,Sokcho-si,속초시,80054,80362,80903
51230,Samcheok-si,삼척시,65939,64464,64289
51720,Hongcheon-gun,홍천군,66587,65658,65215
51730,Hoengseong-gun,횡성군,44649,44712,44864
51750,Yeongwol-gun,영월군,36282,35728,35654
51760,Pyeongchang-gun,평창군,39258,38613,38699
51770,Jeongseon-gun,정선군,34524,33786,33354
51780,Cheorwon-gun,철원군,43042,41855,41145
51790,Hwacheon-gun,화천군,23733,23092,22545
51800,Yanggu-gun,양구군,21317,21121,20824
51810,Inje-gun,인제군,30147,30670,30905
51820,Goseong-gun,고성군,26572,26650,27127
51830,Yangyang-gun,양양군,26748,26632,26566
