code,SIGUNGU_NM,2020,2021,2022
11010,종로구,508135,503019,500149
11020,중구,444434,451099,448655
11030,용산구,299535,292611,287788
11040,성동구,564854,559837,555999
11050,광진구,502641,495777,496743
11060,동대문구,353967,347099,346519
11070,중랑구,435442,426220,424038
11080,성북구,249419,247398,247185
11090,강북구,511982,503929,496423
11100,도봉구,315979,309200,304137
11110,노원구,351057,348201,350709
11120,은평구,392772,388094,386605
11130,서대문구,365612,365192,362408
11140,마포구,317209,314547,318308
11150,양천구,401749,392302,383181
11160,강서구,291918,286469,282131
11170,구로구,438833,435509,436113
11180,금천구,643288,634720,635758
11190,영등포구,439068,433373,426981
11200,동작구,403619,402984,401805
11210,관악구,225882,221688,219289
11220,서초구,463102,457385,454649
11230,강남구,151291,148857,147512
11240,송파구,128744,126310,125257
11250,강동구,385663,380307,379127
21010,중구,41439,41539,41145
21020,서구,105303,104130,104824
21030,동구,87246,86035,85918
21040,영도구,113224,112834,109889
21050,부산진구,351403,351201,350426
21060,동래구,263345,259838,267292
21070,남구,269111,264756,258062
21080,북구,280177,279815,275580
21090,해운대구,389535,386064,377199
21100,사하구,312057,305790,303000
21110,금정구,237219,233596,227484
21120,강서구,136734,142110,143734
21130,연제구,204947,201217,199751
21140,수영구,171461,170720,170007
21150,사상구,216350,211788,206948
21310,기장군,169465,172902,174501
22010,중구,74278,72834,77512
22020,동구,333294,332637,332954
22030,서구,170437,165455,160754
22040,남구,145588,144898,142675
22050,북구,446466,444446,439303
22060,수성구,412912,408085,402458
22070,달서구,566712,554702,545073
22310,달성군,261013,264854,266123
23010,중구,138586,141758,150777
23020,동구,61285,61053,58078
23040,연수구,390260,399594,400488
23050,남동구,528927,521165,511392
23060,부평구,500812,494641,498254
23070,계양구,292852,290967,288122
23080,서구,541534,551026,581069
23090,미추홀구,405886,412022,415196
23310,강화군,66020,65834,66420
23320,옹진군,19292,18984,19329
24010,동구,106005,108676,111181
24020,서구,294854,290565,286793
24030,남구,214860,216266,214531
24040,북구,439352,436997,434712
24050,광산구,422502,422758,421755
25010,동구,232559,233721,231324
25020,중구,231959,227326,224114
25030,서구,478629,475671,474248
25040,유성구,368895,367288,369281
25050,대덕구,176393,175734,174695
26010,중구,214147,209555,204622
26020,남구,320175,315307,311172
26030,동구,159000,155578,154118
26040,북구,217051,216149,216750
26310,울주군,225050,224164,223854
29010,세종시,353933,366227,382589
31010,수원시,1210150,1208337,1216349
31020,성남시,922025,913482,904690
31030,의정부시,449572,455454,455128
31040,안양시,542336,538929,540789
31050,부천시,833148,822635,810142
31060,광명시,298116,290345,284031
31070,평택시,542522,571838,590205
31080,동두천시,95239,94912,94142
31090,안산시,717345,718384,715088
31100,고양시,1045497,1049513,1044242
31110,과천시,58018,65880,73406
31120,구리시,192051,187798,184114
31130,남양주시,696033,713549,719886
31140,오산시,240645,242297,242596
31150,시흥시,535147,554074,557663
31160,군포시,275571,270443,267750
31170,의왕시,160230,160115,157318
31180,하남시,279795,305470,315203
31190,용인시,1066975,1067347,1064500
31200,파주시,460541,475212,490765
31210,이천시,226212,229321,227193
31220,안성시,203030,203897,208619
31230,김포시,474546,491572,491249
31240,화성시,880859,906381,931472
31250,광주시,385141,387700,392926
31260,양주시,233286,239800,242995
31270,포천시,157939,157602,163542
31280,여주시,113352,113270,113831
31350,연천군,42278,41642,41288
31370,가평군,60233,59714,59755
31380,양평군,113844,115616,116950
32010,춘천시,284645,287104,293124
32020,원주시,352429,357224,361810
32030,강릉시,216542,216560,215128
32040,동해시,87801,87264,86772
32050,태백시,41494,40395,39113
32060,속초시,80054,80362,80903
32070,삼척시,65939,64464,64289
32310,홍천군,66587,65658,65215
32320,횡성군,44649,44712,44864
32330,영월군,36282,35728,35654
32340,평창군,39258,38613,38699
32350,정선군,34524,33786,33354
32360,철원군,43042,41855,41145
32370,화천군,23733,23092,22545
32380,양구군,21317,21121,20824
32390,인제군,30147,30670,30905
32400,고성군,26572,26650,27127
32410,양양군,26748,26632,26566
33020,충주시,218412,215349,215783
33030,제천시,134768,133750,130436
33040,청주시,855326,856923,858500
33320,보은군,31543,30929,30636
33330,옥천군,48868,48507,48013
33340,영동군,47016,45546,43813
33350,진천군,89514,91779,93174
33360,괴산군,38093,37526,37830
33370,음성군,103725,100866,102564
33380,단양군,27640,26937,26466
33390,증평군,37183,36652,37778
34010,천안시,682199,683888,687951
34020,공주시,108333,106915,106038
34030,보령시,99088,97390,96511
34040,아산시,340518,348727,363197
34050,서산시,176379,177497,177947
34060,논산시,119707,117262,116852
34070,계룡시,40854,41415,42416
34080,당진시,168955,169507,171192
34310,금산군,53758,52436,52399
34330,부여군,64207,62415,61481
34340,서천군,51039,50012,49509
34350,청양군,30103,30103,29761
34360,홍성군,102757,101618,100339
34370,예산군,77838,76490,76967
34380,태안군,60901,60285,60654
35010,전주시,666517,670411,665884
35020,군산시,269023,267635,266438
35030,익산시,285312,280150,277030
35040,정읍시,106706,104463,103255
35050,남원시,78097,76551,75259
35060,김제시,79733,77998,78277
35310,완주군,95834,95029,94771
35320,진안군,23380,22760,22645
35330,무주군,22678,22305,22296
35340,장수군,20879,20335,20036
35350,임실군,26075,24997,24922
35360,순창군,26598,25483,25279
35370,고창군,52608,51180,50784
35380,부안군,49326,47756,47372
36010,목포시,224509,221178,219625
36020,여수시,271505,268687,268139
36030,순천시,272449,273827,272085
36040,나주시,113293,115138,114785
36060,광양시,143928,144226,145926
36310,담양군,44201,44034,43572
36320,곡성군,27349,26781,26454
36330,구례군,23907,23543,23165
36350,고흥군,60045,58873,58630
36360,보성군,37888,36981,36244
36370,화순군,60247,60136,59822
36380,장흥군,35273,34268,33638
36390,강진군,32778,31941,31476
36400,해남군,65223,63242,62360
36410,영암군,57076,55998,56287
36420,무안군,84637,90094,90630
36430,함평군,30156,29369,29048
36440,영광군,50196,48981,49323
36450,장성군,41443,40604,40266
36460,완도군,48269,47210,46863
36470,진도군,29297,29013,28945
36480,신안군,35138,34000,34148
37010,포항시,501109,501251,496608
37020,경주시,261778,261102,259674
37030,김천시,139145,137962,137698
37040,안동시,159412,158064,156025
37050,구미시,416603,413963,409171
37060,영주시,103818,102414,101521
37070,영천시,100353,99859,99741
37080,상주시,95473,93722,93208
37090,문경시,68212,67669,67515
37100,경산시,283733,293418,295543
37310,군위군,22096,21285,21797
37320,의성군,49243,48021,47775
37330,청송군,23761,23288,23173
37340,영양군,15743,15558,15333
37350,영덕군,34893,33927,33516
37360,청도군,41378,40071,40045
37370,고령군,31419,30399,30142
37380,성주군,41574,40804,40851
37390,칠곡군,115756,114564,113549
37400,예천군,53718,54267,54448
37410,봉화군,29945,29168,28798
37420,울진군,47151,46369,45954
37430,울릉군,8444,8169,8288
38030,진주시,352403,353389,351119
38050,통영시,127984,124829,123006
38060,사천시,111184,109646,109350
38070,김해시,552427,547995,547313
38080,밀양시,103228,101837,101574
38090,거제시,246965,242426,236686
38100,양산시,351206,352610,352842
38110,창원시,1029389,1025702,1016751
38310,의령군,25965,25325,25032
38320,함안군,65279,63233,62409
38330,창녕군,61302,59664,58804
38340,고성군,50016,48803,48298
38350,남해군,41587,40870,40491
38360,하동군,41772,40167,39542
38370,산청군,33500,33014,32811
38380,함양군,37114,36541,36017
38390,거창군,59595,59238,58702
38400,합천군,42140,40642,40082
39010,제주시,492306,493869,495281
39020,서귀포시,178552,179238,181094
